name,number,buyer,portal,close,questions,fit,status,draft,notes
High River X070,X070,Town of High River,email submissions@highriver.ca,2026-09-08 12:00 MT,2026-09-03 16:30 MT passed,GO,draft exists,https://docs.google.com/document/d/1i6JdtPeF65-APHYT_YY4a_PYl99jp6oPuAVZxWc7AJc/edit,Inquiry window ended. Finish on your PC. You submit. Never close day.
Lethbridge COL-26-139,COL-26-139,City of Lethbridge,lethbridge.bidsandtenders.ca,2026-09-10 14:00 MDT,,GO,draft exists,https://docs.google.com/document/d/1IRBel4MW60XaOqtsozKSZDQBgMAEFwJj-ACtH8i78YU/edit,Clean data portal. Not an AI pitch. Attachments 1-3 still gated.
Yellowknife 26-073,26-073,City of Yellowknife,yellowknife.bidsandtenders.ca,2026-09-11 15:00 MDT,,MAYBE,draft exists,https://docs.google.com/document/d/1DbrWQYIGEnrIJiKt438K1NbZtm7-tbx_5uplps4-imc/edit,Assessment not a build. Official PDF still required.
Abbotsford 1220-2026-4120,1220-2026-4120,City of Abbotsford,abbotsford.bidsandtenders.ca,2026-09-21 14:00 PDT,2026-09-08 14:00 PDT,MAYBE,draft exists,https://docs.google.com/document/d/15w1LNZuEe3RFGCCv878r67iajIsTe5q26V3ypeZaVeE/edit,SAP PM / CentralSquare / Esri. Do not invent those references. Budget 33k / 3 years.
CICIC CMEC,2026-CICIC-01,Council of Ministers of Education Canada,MERX,2026-09-18 16:00 ET,2026-09-04 09:00 ET,GO,draft exists,https://docs.google.com/document/d/1pK5s6pxC-6b2FGv4mWy68mrcIu-njukHn_Li2A4LiZ8/edit,On your PC: Claude + official PDF. Questions Fri 4 Sep 09:00 ET.
Saskatoon RFI 26-0470,26-0470,City of Saskatoon,saskatoon.bidsandtenders.ca,2026-09-18 14:00 CST,,MAYBE,draft exists,https://docs.google.com/document/d/15sVdTrWFIQtCkoucTHGRV_Gl57Y8hwY77gqZ3r5HY04/edit,RFI not an RFP.
TBDHU 005-2026,005-2026,Thunder Bay District Health Unit,tbdhu.bidsandtenders.ca,2026-09-22 14:00 EST,questions passed 2026-09-01,MAYBE,draft exists,https://docs.google.com/document/d/1cvo7m_2cKglGo1uY1WD2hDDoTbJEauBzue1okPufBgs/edit,Needs assessment. Winner cannot bid the later website build.
Lethbridge COL-25-173 CCTV,COL-25-173,City of Lethbridge,lethbridge.bidsandtenders.ca,2026-09-23 14:00 MDT,,MAYBE,draft exists,https://docs.google.com/document/d/14lJwUz1rkOnGQb5Y6NMsO5VvxWj0uxYDWGyMGKAKVMI/edit,Vision/industrial-adjacent product buy.
Halton Hills 2026-020-NP,2026-020-NP,Town of Halton Hills,,2026-09-23,,,watch,none,Confirm portal and fit before writing.
Metro Vancouver 26-0316,26-0316,Metro Vancouver,,2026-09-29,,,watch,none,Confirm portal and fit before writing.
